#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46240  36.626 -121.907 2019 03 11 23 30  MM    MM    MM  1.4  14  9.9   7     MM    MM    MM  13.6    MM   MM     MM
46242  33.220 -117.439 2019 03 11 22 58  MM    MM    MM  0.6  17  7.0 230     MM    MM    MM  14.5    MM   MM     MM
46243  46.216 -124.128 2019 03 11 23 30  MM    MM    MM  2.0  14  8.0 261     MM    MM    MM   7.6    MM   MM     MM
46244  40.896 -124.357 2019 03 11 23 30  MM    MM    MM  2.1  13  9.1 291     MM    MM    MM  11.3    MM   MM     MM
46246  50.033 -145.200 2019 03 11 22 30  MM    MM    MM  5.6  13  9.4 268     MM    MM    MM   5.7    MM   MM     MM
46248  46.129 -124.647 2019 03 11 23 30  MM    MM    MM  2.5  15  8.6 296     MM    MM    MM   9.5    MM   MM     MM
46251  33.761 -119.559 2019 03 11 23 30  MM    MM    MM  1.3  11  8.2 269     MM    MM    MM  13.7    MM   MM     MM
46253  33.576 -118.181 2019 03 11 23 30  MM    MM    MM  0.8  11  6.5 263     MM    MM    MM  13.7    MM   MM     MM
46254  32.868 -117.267 2019 03 11 22 58  MM    MM    MM  0.6  17  5.9 291     MM    MM    MM  15.0    MM   MM     MM
46256  33.700 -118.201 2019 03 11 23 30  MM    MM    MM  0.8  15  7.7 243     MM    MM    MM  14.4    MM   MM     MM
46258  32.752 -117.501 2019 03 11 23 30  MM    MM    MM  1.4  17  8.1 260     MM    MM    MM  14.8    MM   MM     MM
46259  34.767 -121.497 2019 03 11 23 30  MM    MM    MM  3.1  15  9.8 302     MM    MM    MM  13.8    MM   MM     MM
51000  23.535 -153.781 2019 03 11 22 50  90  12.0  14.0  2.9   9  6.6  75 1021.4  -1.9  20.6  23.4    MM   MM     MM
